Customer_id,State,Area,TimeZone,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
K409198,AK,Urban,America/Sitka,0,68,28561.99,Widowed,Male,No,7.978322947,10,0,1,No,One year,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4
S120509,MI,Urban,America/Detroit,1,27,21704.77,Married,Female,Yes,11.69907956,12,0,1,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4
K191035,OR,Urban,America/Los_Angeles,4,50,9609.57,Widowed,Female,No,10.75280028,9,0,1,Yes,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3
D90850,CA,Suburban,America/Los_Angeles,1,48,18925.23,Married,Male,No,14.91353964,15,2,0,Yes,Two Year,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Mailed Check,17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3
K662701,TX,Suburban,America/Chicago,0,83,40074.19,Separated,Male,Yes,8.147416533,16,2,1,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Mailed Check,1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5
W303516,GA,Urban,America/New_York,3,83,22660.2,Never Married,Female,No,8.420992898,15,3,1,No,One year,Yes,No,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Electronic Check,7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3
U335188,TN,Suburban,America/New_York,0,79,11467.5,Widowed,Male,Yes,11.18272453,10,0,1,Yes,Month-to-month,No,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,Electronic Check,13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5
V538685,OK,Suburban,America/Chicago,2,30,26759.64,Married,Female,Yes,7.791632265,16,0,0,Yes,Month-to-month,No,No,DSL,No,No,No,Yes,No,No,No,No,Yes,Mailed Check,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5
M716771,FL,Suburban,America/New_York,2,49,58634.51,Separated,Nonbinary,No,5.739005915,20,2,3,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Bank Transfer(automatic),8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4
I676080,OH,Rural,America/New_York,1,86,50231.4,Married,Female,No,8.707823904,18,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,3.422086139,162.482694,508.7637913,2,2,2,2,5,2,3,3
J980369,PA,Urban,America/New_York,7,23,22580.7,Separated,Female,No,9.341631685,9,0,2,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.26726194,174.958118,2728.767869,4,4,4,7,3,3,3,4
E243720,PR,Rural,America/Puerto_Rico,2,56,18342.12,Married,Female,No,6.68082638,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4
F139569,IA,Rural,America/Chicago,0,83,83671.08,Divorced,Male,No,8.273875452,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3
X44200,ME,Urban,America/New_York,5,29,115114.57,Separated,Female,No,5.880565591,14,1,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4
H68068,IL,Urban,America/Chicago,1,30,64256.81,Separated,Male,Yes,11.79073041,10,3,0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06019902,159.965581,1582.295235,3,3,4,2,3,4,4,2
A403906,WI,Suburban,America/Chicago,3,39,89061.45,Divorced,Male,Yes,10.79846973,13,1,0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,177.65076,1840.014467,3,3,3,2,4,3,5,2
V847470,CA,Urban,America/Los_Angeles,0,63,31659.3,Married,Female,Yes,13.52284721,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3
F721878,NC,Rural,America/New_York,2,60,44142.81,Separated,Male,Yes,9.831166695,16,3,0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,2.303331273,202.682861,882.0985933,2,2,4,3,3,4,3,3
F487435,TN,Rural,America/Chicago,3,61,39262.14,Widowed,Female,No,9.57470568,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5
B561228,AL,Rural,America/Chicago,3,23,19494.75,Divorced,Male,Yes,10.92246098,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3
X325271,IL,Rural,America/Chicago,4,38,39624.21,Never Married,Male,No,12.06889188,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45390977,184.978458,2330.319383,2,3,3,2,4,2,3,3
I282896,OH,Suburban,America/New_York,3,30,45714.47,Divorced,Male,No,6.984819996,18,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.415991977,127.495766,594.1054279,5,5,4,4,3,4,3,5
